id;title;rooms;meters;price;details;image;image_content_type
1;Usability Quality-focused Games;8528;1832;15018;Technician;../fake-data/blob/hipster.png;image/png
2;driver Granite Lesotho;27714;73377;72918;panel;../fake-data/blob/hipster.png;image/png
3;open-source 24/365 capacitor;37461;33486;88876;parse program;../fake-data/blob/hipster.png;image/png
4;Credit Card Account initiatives;90182;5710;84968;Cambridgeshire dynamic cross-platform;../fake-data/blob/hipster.png;image/png
5;Maryland Afghanistan Senior;29038;51051;3581;protocol envisioneer;../fake-data/blob/hipster.png;image/png
6;cyan Directives;66051;20629;48377;Developer;../fake-data/blob/hipster.png;image/png
7;Generic;15187;84231;46897;Baht Savings Account;../fake-data/blob/hipster.png;image/png
8;Cotton;71864;48189;57838;Gorgeous Wooden Tuna mission-critical;../fake-data/blob/hipster.png;image/png
9;indigo Tasty mesh;46419;40737;15415;grey;../fake-data/blob/hipster.png;image/png
10;Future panel De-engineered;39198;43977;51792;Global;../fake-data/blob/hipster.png;image/png
